"id","title","trim_id","retail_price","p11d_price"
"RC83YJ-2025-GPCEPCE-GPEXPEX-GPJ3PJ3-GPTCPTC-GYOSYOS","Elegance 3.0 TSI eHybrid 381PS 8-Speed Tiptronic 4Motion 5 Door","31706-elegance","71280","71205"
"RC857J-2025-GPCEPCE-GPEXPEX-GPF2PF2-GPJ6PJ6-GPSLPSL-GPTDPTD-GP08P08-GWB4WB4-GYOSYOS-MDAR3S7","Black Edition 3.0 TDI 286PS 8-Speed Tiptronic 4Motion 5 Door","31706-black-edition","72875","71170"
"RC8RZJ-2025-GPCEPCE-GPEXPEX-GPF2PF2-GPJ9PJ9-GPSLPSL-GPTDPTD-GWB4WB4-GWLRWLR-GYOSYOS","R 3.0 TSI eHybrid 462PS 8-Speed Tiptronic 4Motion 5 Door","31706-r","82840","82765"
"E122DD-2025-GYGAYGA-GYGGYGG-MBOW1S3","Pure Essential 52kWh 170PS 1-speed automatic 5 Door","30275-pure-essential","30850","30795"
"E129VP-2025-GPBNPBN-GPJSPJS-GPK5PK5-GWE1WE1-GW60W60-GYGAYGA","GTX Performance 79kWh 326PS 1-speed automatic 5 Door","30275-gtx-performance","46315","46260"
"E123KK-2025-MSNRS25-GW42W42-GYGAYGA","Pro Essential 59kWh 204PS 1-speed automatic 5 Door","30275-pro-essential","35730","35675"
"E124KN-2025-GPK5PK5-GPS1PS1-MSNRS25-MABAUD2-GWE1WE1-GW60W60-GYGAYGA","Pro S Match 77kWh 204PS 1-speed automatic 5 Door","30275-pro-s-match","39930","39875"
"E123KK-2025-GPJBPJB-GPK5PK5-GPS1PS1-MSNRS25-MABAUD2-GWE1WE1-GW60W60-GYGAYGA","Pro Match 59kWh 204PS 1-speed automatic 5 Door","30275-pro-match","36650","36595"
"E122DD-2025-MKSUKA2-GPJBPJB-GPK5PK5-GW50W50-GYGAYGA-GYGGYGG-MZFM0TD-MBOW1S3-MSSH4KF-MLIA8G1","Pure Match 52kWh 170PS 1-speed automatic 5 Door","30275-pure-match","32210","32155"
"E124KN-2025-MSNRS25-GW42W42-GYGAYGA","Pro S Essential 77kWh 204PS 1-speed automatic 5 Door","30275-pro-s-essential","39220","39165"
"E399VP-2025-GPALPAL-GPAZPAZ-GPA5PA5-GPSGPSG-GRD9RD9-GWD9WD9-GW60W60-GYGAYGA-MBOW1S3","GTX Edition 79kWh GTX 4MOTION 340PS 1-speed automatic 5 Door","30297-gtx-edition","53735","53680"
"E393RN-2025-GPAIPAI-GPAYPAY-GPA2PA2-GRD8RD8-MABAUD2-GWD1WD1-GW60W60-GYGAYGA-MBOW1S3-MSDH5I6","Match 77kWh Pro 286PS 1-speed automatic 5 Door","30297-match","45890","45835"
"E392DF-2025-GPAIPAI-GPAYPAY-GPJ7PJ7-GRD8RD8-GWD1WD1-GW05W05-GYGAYGA-GYGGYGG-MBOW1S3-MSSH4KF","Match 52kWh Pure 170PS 1-speed automatic 5 Door","30297-match","41080","41025"
"ED24QM-2025-GPBEPBE-GPBPPBP-GP01P01-GP22P22-GW55W55","Pro S Match 86kWh Pro S 286PS 1-speed automatic 5 Door","30550-pro-s-match","55480","55425"
"ED29PM-2025-GPBFPBF-GPBPPBP-GP01P01-GP36P36-GW55W55","GTX 4MOTION 86kWh GTX 340PS 1-speed automatic 5 Door","30550-gtx-4motion","62010","61955"
"ED23QK-2025-GPBEPBE-GPBPPBP-GP01P01-GP22P22-GW55W55","Pro Match 77kWh Pro 286PS 1-speed automatic 5 Door","30550-pro-match","51580","51525"
"AE13AZ-2025-GPF3PF3-GPI3PI3-GRBPRBP-GWD1WD1-GWLDWLD-GYKMYKM-GYOSYOS","Life 1.0 TSI 95PS 7-speed DSG 5 Door","30205-life","23585","23310"
"AE13GV-2025-GPI3PI3-GRBPRBP-GWD1WD1-GWLDWLD-GYKMYKM-GYOSYOS","Life 1.0 80PS 5-speed Manual 5 Door","30205-life","21210","20935"
"AE13AV-2025-GPF3PF3-GPI3PI3-GRBPRBP-GWD1WD1-GWLDWLD-GYKMYKM-GYOSYOS","Life 1.0 TSI 95PS 5-speed Manual 5 Door","30205-life","22150","21875"
"AE13AV-2025-MKSUKA1-GPF3PF3-GPI7PI7-GRBPRBP-GWD1WD1-GWLDWLD-GW10W10-GYKMYKM-GYOSYOS-MSSH4KF","Match 1.0 TSI 95PS 5-speed Manual 5 Door","30205-match","22840","22565"
"AE13AZ-2025-MKSUKA1-GPF3PF3-GPI7PI7-GRBPRBP-GWD1WD1-GWLDWLD-GW10W10-GYKMYKM-GYOSYOS-MSSH4KF","Match 1.0 TSI 95PS 7-speed DSG 5 Door","30205-match","24275","24000"
"AE15AZ-2025-GPF3PF3-GRBFRBF-GWD1WD1-GWLCWLC-GYKMYKM-GYOSYOS-MSSH4KF-MHKA9AK-MMFA9S0","R-Line 1.0 TSI 95PS 7-speed DSG 5 Door","30205-r-line","25985","25710"
"AE15BZ-2025-GPF3PF3-GRBFRBF-GWD1WD1-GWLCWLC-GYKMYKM-GYOSYOS-MSSH4KF-MHKA9AK-MMFA9S0","R-Line 1.0 TSI 115PS 7-speed DSG 5 Door","30205-r-line","27210","26935"
"AE15AV-2025-GPF3PF3-GRBFRBF-GWD1WD1-GWLCWLC-GYKMYKM-GYOSYOS-MSSH4KF-MHKA9AK-MMFA9S0","R-Line 1.0 TSI 95PS 5-speed Manual 5 Door","30205-r-line","24550","24275"
"AE19UZ-2025-GPDBPDB-GPF3PF3-GRBFRBF-GWD1WD1-GWLDWLD-GYKMYKM-GYOSYOS-MSSH4KF-MHKA9AK-MMFA9S0","GTI 2.0 TSI 207PS 7-speed DSG 5 Door","30205-gti","30430","30105"
"AE14AV-2025-GPF3PF3-GPI5PI5-GRBFRBF-GWD1WD1-GWLDWLD-GYKMYKM-GYOSYOS-MHKA9AK-MMFA9S0","Style 1.0 TSI 95PS 5-speed Manual 5 Door","30205-style","24550","24275"
"AE15BZ-2025-GPDRPDR-GPF3PF3-GPJEPJE-GPXAPXA-GRBFRBF-GWD1WD1-GWLDWLD-GW65W65-GYKMYKM-GYOSYOS-MSIH4A3-MHKA9AK-MMFA9S0","Black Edition 1.0 TSI 115PS 7-speed DSG 5 Door","30205-black-edition","27710","27435"
"E219VN-2025-GPALPAL-GPAZPAZ-GPA5PA5-GPSGPSG-GRD9RD9-GWD9WD9-GW60W60-GYGAYGA","GTX Edition 77kWh GTX 4MOTION 340PS 1-speed automatic 5 Door","30290-gtx-edition","52235","52180"
"E213RN-2025-GPAIPAI-GPAYPAY-GPA2PA2-GPJ8PJ8-GRD8RD8-MABAUD2-GWD1WD1-GW60W60-GYGAYGA-MSDH5I6","Match 77kWh Pro 286PS 1-speed automatic 5 Door","30290-match","44390","44335"
"E213QN-2025-GPAIPAI-GPAYPAY-GPA2PA2-GPJ8PJ8-GRD8RD8-MABAUD2-GWD1WD1-GW60W60-GYGAYGA-MSDH5I6","Match 77kWh Pro 4MOTION 286PS 1-speed automatic 5 Door","30290-match","46110","46055"
"E212DF-2025-GPAIPAI-GPAYPAY-GPJ7PJ7-GRD8RD8-GWD1WD1-GW05W05-GYGAYGA-GYGGYGG-MSSH4KF","Match 52kWh Pure 170PS 1-speed automatic 5 Door","30290-match","39580","39525"
"ED59PM-2025-GPBFPBF-GPBPPBP-GP01P01-GP36P36-GW55W55","GTX 4MOTION 86kWh GTX 340PS 1-speed automatic 5 Door","30560-gtx-4motion","62700","62645"
"ED53QK-2025-GPBEPBE-GPBPPBP-GP01P01-GP22P22-GW55W55","Pro Match 77kWh Pro 286PS 1-speed automatic 5 Door","30560-pro-match","52270","52215"
